Solar,Ultra,Lidar,Temp
187.00,20.50,231.00,173
187.00,20.50,234.00,174
187.00,20.50,235.00,174
186.00,20.50,231.00,83
187.00,20.45,233.00,84
186.00,20.45,235.00,86
187.00,20.45,234.00,84
186.00,20.45,232.00,85
188.00,20.41,233.00,86
37.00,20.45,53.00,85
38.00,20.50,51.00,85
33.00,20.50,46.00,85
33.00,20.50,52.00,85
186.00,20.50,233.00,86
187.00,20.41,232.00,86
186.00,20.41,235.00,86
187.00,20.41,232.00,86
187.00,20.45,233.00,86
185.00,21.55,231.00,87
185.00,22.35,233.00,86
185.00,22.70,233.00,86
187.00,22.70,233.00,86
183.00,22.35,232.00,86
184.00,22.11,233.00,87
183.00,21.92,234.00,86
184.00,21.78,235.00,86
183.00,21.55,236.00,87
184.00,21.45,232.00,86
184.00,21.36,235.00,86
185.00,21.27,234.00,87
185.00,21.18,233.00,86
184.00,21.08,232.00,87
184.00,21.04,236.00,86
185.00,20.95,235.00,86
184.00,20.90,232.00,87
184.00,20.86,233.00,86
184.00,20.81,233.00,87
184.00,20.81,231.00,87
185.00,20.77,236.00,86
184.00,20.72,46.00,85
183.00,20.77,233.00,86
183.00,20.68,233.00,86
184.00,20.68,232.00,87
184.00,20.63,232.00,86
184.00,20.63,233.00,87
184.00,20.59,236.00,163
185.00,20.63,232.00,174
183.00,20.63,235.00,174
182.00,20.63,235.00,174
183.00,20.59,235.00,174
50.00,20.59,56.00,171
62.00,20.59,39.00,165
181.00,20.54,43.00,169
184.00,20.54,230.00,173
183.00,20.54,235.00,173
177.00,20.54,235.00,172
182.00,20.54,232.00,172
183.00,20.54,43.00,174
185.00,20.54,232.00,173
185.00,20.54,232.00,173
184.00,20.54,234.00,173
184.00,20.54,235.00,174
185.00,20.54,232.00,174
185.00,20.54,232.00,173
184.00,20.54,232.00,173
185.00,20.54,231.00,174
184.00,20.50,232.00,175
185.00,20.54,232.00,174
184.00,20.50,232.00,174
184.00,20.50,231.00,175
185.00,20.50,234.00,175
185.00,20.50,231.00,174
186.00,20.50,232.00,174
185.00,20.50,231.00,174
187.00,20.54,232.00,175
185.00,20.54,231.00,175
186.00,20.50,230.00,175
185.00,20.50,232.00,174
185.00,20.50,232.00,175
184.00,20.50,233.00,175
184.00,20.50,231.00,175
184.00,20.50,232.00,175
184.00,20.50,235.00,174
184.00,20.50,231.00,175
183.00,20.50,235.00,175
184.00,20.45,231.00,175
184.00,20.45,236.00,175
184.00,20.45,235.00,175
